,group,name,fullname,param,options_disable_gc,options_timer,options_min_rounds,options_max_time,options_min_time,options_warmup,stats_min,stats_max,stats_mean,stats_stddev,stats_rounds,stats_median,stats_iqr,stats_q1,stats_q3,stats_iqr_outliers,stats_stddev_outliers,stats_outliers,stats_ld15iqr,stats_hd15iqr,stats_ops,stats_total,stats_iterations,params_dtype,params_size,params_density,params_get_operation,extra_info_dtype
0,numpy-2-dense,test_linear_algebra_unary[numpy-2-dense-eigenvalues],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-2-dense-eigenvalues],numpy-2-dense-eigenvalues,False,perf_counter,5,1.0,5e-06,False,1.5245000014374455e-05,5.977499998266467e-05,1.632376922973304e-05,4.456508942192855e-06,104,1.5634999996905208e-05,3.0549999507911707e-07,1.5493999995896957e-05,1.5799499990976074e-05,12,3,3;12,1.5245000014374455e-05,1.6272999999955573e-05,61260.361251526585,0.0016976719998922363,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],2,dense,eigenvalues,numpy
1,numpy-2-dense,test_linear_algebra_unary[numpy-2-dense-expm],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-2-dense-expm],numpy-2-dense-expm,False,perf_counter,5,1.0,5e-06,False,0.0003526279999732651,0.0008670549999862942,0.0007305700540544765,0.00014519564267317537,74,0.0007882614999914495,1.5233999988595315e-05,0.0007820620000131839,0.0007972960000017792,16,12,12;16,0.0007806200000004537,0.0008242799999891304,1368.7941278871974,0.054062184000031266,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],2,dense,expm,numpy
2,numpy-2-sparse,test_linear_algebra_unary[numpy-2-sparse-eigenvalues],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-2-sparse-eigenvalues],numpy-2-sparse-eigenvalues,False,perf_counter,5,1.0,5e-06,False,5.616000009922573e-06,0.00014050300001144933,8.224144554775193e-06,4.667994752230967e-06,16409,6.017000004021611e-06,6.8424998289629e-07,5.865000019866784e-06,6.549250002763074e-06,3969,3857,3857;3969,5.616000009922573e-06,7.57999998768355e-06,121593.19347315814,0.13494998799930613,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],2,sparse,eigenvalues,numpy
3,numpy-2-sparse,test_linear_algebra_unary[numpy-2-sparse-expm],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-2-sparse-expm],numpy-2-sparse-expm,False,perf_counter,5,1.0,5e-06,False,0.00015828100001158418,0.00043703500000447093,0.0001714047528970641,2.122079792973116e-05,2934,0.00016453349999778766,7.823999965239636e-06,0.00016128500001855173,0.00016910899998379136,441,330,330;441,0.00015828100001158418,0.0001809340000136217,5834.143937656984,0.5029015449999861,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],2,sparse,expm,numpy
4,numpy-4-dense,test_linear_algebra_unary[numpy-4-dense-eigenvalues],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-4-dense-eigenvalues],numpy-4-dense-eigenvalues,False,perf_counter,5,1.0,5e-06,False,6.777999999485473e-06,4.132700001946432e-05,7.187343519472425e-06,1.3831914052608578e-06,29288,7.015999983650545e-06,1.910000264615519e-07,6.942999988268639e-06,7.134000014730191e-06,1406,331,331;1406,6.777999999485473e-06,7.420999992291399e-06,139133.46388561145,0.21050291699830836,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],4,dense,eigenvalues,numpy
5,numpy-4-dense,test_linear_algebra_unary[numpy-4-dense-expm],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-4-dense-expm],numpy-4-dense-expm,False,perf_counter,5,1.0,5e-06,False,0.00020670400002131828,0.0003570529999876726,0.00021644988237578094,1.0237253717319578e-05,2559,0.00021512699998993412,2.600749986925166e-06,0.0002138449999975478,0.00021644574998447297,353,82,82;353,0.00020996000000650383,0.00022038000000179636,4620.007130629388,0.5538952489996234,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],4,dense,expm,numpy
6,numpy-4-sparse,test_linear_algebra_unary[numpy-4-sparse-eigenvalues],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-4-sparse-eigenvalues],numpy-4-sparse-eigenvalues,False,perf_counter,5,1.0,5e-06,False,6.788999996842904e-06,4.1506000002300425e-05,7.264541601370683e-06,1.0776901387338084e-06,27439,7.026999981007975e-06,5.720000046949281e-07,6.9580000001678854e-06,7.5300000048628135e-06,219,227,227;219,6.788999996842904e-06,8.394000019507075e-06,137654.93473274607,0.19933175700001016,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],4,sparse,eigenvalues,numpy
7,numpy-4-sparse,test_linear_algebra_unary[numpy-4-sparse-expm],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-4-sparse-expm],numpy-4-sparse-expm,False,perf_counter,5,1.0,5e-06,False,0.00017191000000593704,0.00021139700001526762,0.00017744936998306048,3.5552960068373118e-06,2965,0.0001768189999893366,1.8780000132778696e-06,0.00017597474999320184,0.0001778527500064797,202,219,219;202,0.00017317199998956312,0.00018067400000632006,5635.4102586865265,0.5261373819997743,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],4,sparse,expm,numpy
8,numpy-8-dense,test_linear_algebra_unary[numpy-8-dense-eigenvalues],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-8-dense-eigenvalues],numpy-8-dense-eigenvalues,False,perf_counter,5,1.0,5e-06,False,9.775999984640293e-06,4.991299999801413e-05,1.033907503194069e-05,1.4866933521358521e-06,25176,1.0008999993260659e-05,7.839999796033226e-07,9.96100001771083e-06,1.0744999997314153e-05,271,276,276;271,9.775999984640293e-06,1.201300000275296e-05,96720.45099882554,0.2602965530041388,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],8,dense,eigenvalues,numpy
9,numpy-8-dense,test_linear_algebra_unary[numpy-8-dense-expm],tests/test_linear_algebra.py::test_linear_algebra_unary[numpy-8-dense-expm],numpy-8-dense-expm,False,perf_counter,5,1.0,5e-06,False,0.0005030860000090343,0.004928755000008778,0.0005181308098412673,0.00010109949997160352,1951,0.0005127500000128293,6.074000019395953e-06,0.0005100777499933429,0.0005161517500127388,126,12,12;126,0.0005030860000090343,0.00052533199999516,1930.014546531901,1.0108732100003124,1,UNSERIALIZABLE[<module 'numpy' from '/home/kaladin/.virtualenvs/qutip-tensorflow/lib/python3.9/site-packages/numpy/__init__.py'>],8,dense,expm,numpy
